epoch,dice_coef,learning_rate,loss,val_dice_coef,val_loss
0,0.06158814579248428,9.999999747378752e-05,0.9384118318557739,0.031073441728949547,0.9688618779182434
1,0.09412049502134323,9.999999747378752e-05,0.9058794975280762,0.02805301733314991,0.971903383731842
2,0.11690261214971542,9.999999747378752e-05,0.8830975294113159,0.048223692923784256,0.9515730142593384
3,0.1326090544462204,9.999999747378752e-05,0.867391049861908,0.09200986474752426,0.907569408416748
4,0.14765141904354095,9.999999747378752e-05,0.8523483872413635,0.11183331906795502,0.8870594501495361
5,0.16479270160198212,9.999999747378752e-05,0.8352069854736328,0.13084450364112854,0.867874264717102
6,0.18356533348560333,9.999999747378752e-05,0.8164346814155579,0.13644471764564514,0.8621073961257935
7,0.20229268074035645,9.999999747378752e-05,0.7977072596549988,0.1591419279575348,0.8397775292396545
8,0.22694091498851776,9.999999747378752e-05,0.7730589509010315,0.17774830758571625,0.8201128840446472
9,0.25406867265701294,9.999999747378752e-05,0.7459314465522766,0.20933052897453308,0.7883465886116028
10,0.28464722633361816,9.999999747378752e-05,0.7153526544570923,0.20981118083000183,0.7879026532173157
11,0.3197993040084839,9.999999747378752e-05,0.6802008748054504,0.26495790481567383,0.7319211959838867
12,0.3543647229671478,9.999999747378752e-05,0.645635187625885,0.2907029688358307,0.7066699862480164
13,0.39013615250587463,9.999999747378752e-05,0.609863817691803,0.3144548237323761,0.6828944087028503
14,0.4271469712257385,9.999999747378752e-05,0.5728530883789062,0.28928342461586,0.7068226337432861
15,0.4699084162712097,9.999999747378752e-05,0.5300915837287903,0.3471021354198456,0.6478329300880432
16,0.5106759071350098,9.999999747378752e-05,0.48932409286499023,0.39743390679359436,0.5976108312606812
17,0.5506493449211121,9.999999747378752e-05,0.4493507146835327,0.4298352003097534,0.5670884251594543
18,0.5873752236366272,9.999999747378752e-05,0.4126247763633728,0.4483984410762787,0.5462942719459534
19,0.6197954416275024,9.999999747378752e-05,0.3802046775817871,0.46534988284111023,0.5303584933280945
